intent,result
将transmission添加到我的found_them_first歌单,"SeqCommand(phone.actions.AddToPlaylist(playlist=""found_them_first"", music=""transmission""))"
从现在起20分钟后，马丁尼克的家园草地会是什么天气,"SeqCommand(phone.actions.Delay(numberOfSeconds=20*60),phone.actions.WeatherCurrentConditions(location=马丁尼克的家园草地))"
把老板罗斯的这首曲子放到nação reggae,"NestCommand(phone.actions.AddToPlaylist(playlist=""nação reggae"", music=phone.actions.GetCurrentSong()))"
播放1989年左右的乔尼-巴克兰的交响曲前五名,"NestCommand(phone.actions.PlayMusic(music=phone.actions.FilterMusic(sortProperty=演唱者, sortValue=乔尼-巴克兰, sortOrder=desc,limitedNumber=5)))"
把这首歌放在感觉良好的独立摇滚乐播放列表中,"NestCommand(phone.actions.AddToPlaylist(playlist=感觉良好的独立摇滚乐, music=phone.actions.GetCurrentSong()))"
搜索哪里可以看到学习的乐趣,SeqCommand(phone.actions.SearchWeb(text=哪里可以看到学习的乐趣))
搜索秘密教义的创意图片,SeqCommand(phone.actions.SearchWeb(text=秘密教义的创意图片))
播放七十年代汤姆-萨克尔的民谣,"NestCommand(phone.actions.PlayMusic(music=phone.actions.FilterMusic(sortProperty=发表时间, sortValue=七十年代, singer=汤姆-萨克尔)))"
我想看忘了那个女孩,SeqCommand(phone.actions.SearchWeb(text=忘了那个女孩))
播放jade puget的2gether,SeqCommand(phone.actions.PlayMusic(music=2gether))
将Rudolph Run加入我的Rockin播放列表,"SeqCommand(phone.actions.AddToPlaylist(playlist=Rockin,music=Rudolph Run))"
"将 ""每首歌都是对爱的呼唤 ""添加到我的播放列表中，""城市的灵魂""","SeqCommand(phone.actions.AddToPlaylist(playlist=城市的灵魂,music=每首歌都是对爱的呼唤))"
将该音乐添加到罗莎娜的健身运动播放列表,"NestCommand(phone.actions.AddToPlaylist(playlist=罗莎娜的健身运动, music=phone.actions.GetCurrentSong()))"
巴布亚新几内亚午间的降雨量预测,"NestCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location=巴布亚新几内亚,type=Hour),info=precipitation))"
附近停车场,"SeqCommand(phone.actions.SearchLocalFacilities(source=DefalutToCurrentLocation,query=停车场,radius=1000))"
去苏州大学,"SeqCommand(phone.actions.GetDirections(source=DefaultToCurrentLocation,destination=苏州大学,mode=Driving))"
用最新的两张照片制作GIF发送给张三,"NestCommand(phone.actions.SendMessage(showWhenRun=false,recipients=张三,message=phone.actions.MakeGif(content=phone.actions.GetLastPhoto(numberOfPhotos=2))))"
如果明天早上下雨的话帮我叫辆车去公司,"IfCommand(phone.scenes.IsWeatherCondition(input=phone.actions.WeatherForecast(location=DefaultToCurrentLocation,type=Hour),condition=下雨))       SeqCommand(phone.actions.RequestRide(app=DefaultToAPP,pickupLocation=DefaultToCurrentLocation,dropoffLocation=公司,rideType=commonRide,partySize=1))"
定5个闹钟，从8点开始每隔5分钟定一个闹钟,"LoopCommand(phone.actions.RepeatCount(count=5))
SeqCommand(phone.actions.Delay(numberOfSeconds=300), phone.actions.CreateAlarm(time='DefaultCurrentTime'))"
获取当前设备名称,SeqCommand(phone.actions.GetDeviceDetails(detail=DefaultToCurrentDevice))
