name,rewrite,label,predict
如果到学校的直线距离大于3km，则显示到学校的公交地铁导航路线,只有当学校的直线距离超过3公里时，才会提供公交和地铁导航路线。,1,1
如果到学校的直线距离大于3km，则显示到学校的公交地铁导航路线,一进入自习室，QQ音乐就自动启动了。,0,0
如果到家距离小于5km，则为我用百度地图叫一辆车去回家,只要离家不超过5公里，就请帮我通过百度地图叫一辆车回家。,1,1
如果到家距离小于5km，则为我用百度地图叫一辆车去回家,请将昆明呈贡区的每日天气预报获取并发送邮件通知A。,0,0
如果到电影院距离超过5km，则为我用高德地图叫一辆车去电影院,若电影院距离超过5公里，则请我使用高德地图召唤一辆车前往电影院。,1,1
如果到电影院距离超过5km，则为我用高德地图叫一辆车去电影院,在音乐应用程序运行时，启用手机蓝牙以便与蓝牙耳机建立连接。,0,0
如果到降水概率超过50%，则为我用高德地图叫一辆车去公司,倘若降雨机率超过50%，请替我使用高德地图预约一辆车前往公司。,1,1
如果到降水概率超过50%，则为我用高德地图叫一辆车去公司,一旦抵达学校，我会立即向家人发送消息以告知我平安无事。,0,0
如果到餐厅的直线距离小于5km，则显示到餐厅的步行导航路线，否则显示驾车导航路线,只有当餐厅距离小于5公里时，才会展示步行导航路线，否则将展示驾车导航路线。,1,1
如果到餐厅的直线距离小于5km，则显示到餐厅的步行导航路线，否则显示驾车导航路线,请列出乔尼-巴克兰创作的交响曲，其中包括1989年左右的前五名。,0,0
如果在13点，则将打开播客，搜索美国的泰勒,一旦时钟指向下午一点，我将启动播客应用并开始搜索有关美国泰勒的内容。,1,1
如果在13点，则将打开播客，搜索美国的泰勒,将pdf转换为jpg格式，并生成一个gif文件。,0,0
如果在夜间则将飞行模式打开,当夜幕降临时，请启用飞行模式。,1,1
如果在夜间则将飞行模式打开,我想把我正在听的歌曲添加到我的播放列表中。,0,0
如果处于充电状态则打开充电状态监测应用,打开充电状态监测应用，只要你的设备正在充电。,1,1
如果处于充电状态则打开充电状态监测应用,合并最近的两张照片，这些照片是从相册中选取的。,0,0
如果当前app是音乐app，则打开手机蓝牙，以供与蓝牙耳机连接,在音乐应用程序运行时，启用手机蓝牙以便与蓝牙耳机建立连接。,1,1
如果当前app是音乐app，则打开手机蓝牙，以供与蓝牙耳机连接,将老板罗斯的这首曲子放入nação reggae的音乐库中。,0,0
如果当前打开了阅读软件，则关闭蓝牙，然后打开飞行模式,一旦阅读软件启动，就要关闭蓝牙并切换到飞行模式。,1,1
如果当前打开了阅读软件，则关闭蓝牙，然后打开飞行模式,请为我设置一个闹钟，时间是周一早上7点，这是在周日晚上。,0,0
如果收到导师的邮件立刻打开网易邮箱,一旦收到导师的邮件，我会立即打开我的网易邮箱。,1,1
如果收到导师的邮件立刻打开网易邮箱,求1、2、3的乘积。,0,0
