intent,actions,text-embedding-ada-002_actions,text-embedding-ada-002_precision,text-embedding-ada-002_recall,text-embedding-ada-002_f1,text2vec-base-chinese_actions,text2vec-base-chinese_precision,text2vec-base-chinese_recall,text2vec-base-chinese_f1,siamese-bert_actions,siamese_precision,siamese_recall,siamese_f1,cross_actions,cross_precision,cross_recall,cross_f1,text-similarity-davinci-001_actions,text-similarity-davinci-001_precision,text-similarity-davinci-001_recall,text-similarity-davinci-001_f1,text-similarity-ada-001_actions,text-similarity-ada-001_precision,text-similarity-ada-001_recall,text-similarity-ada-001_f1,text-similarity-curie-001_actions,text-similarity-curie-001_precision,text-similarity-curie-001_recall,text-similarity-curie-001_f1,text-similarity-babbage-001_actions,text-similarity-babbage-001_precision,text-similarity-babbage-001_recall,text-similarity-babbage-001_f1
将transmission添加到我的found_them_first歌单,['phone.actions.AddToPlaylist'],"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.SendEmail', 'phone.actions.Folder']",0,0,0,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.FilterMusic']",0.333333333,1,0.5,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.AddToMemorandum']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.AddToMemorandum', 'phone.actions.GetPlaylist']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.FilterMusic']",0.333333333,1,0.5
从现在起20分钟后，马丁尼克的家园草地会是什么天气,"['phone.actions.Delay', 'phone.actions.WeatherCurrentConditions']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions', 'phone.actions.WeatherForecast']",0.333333333,0.5,0.4,"['phone.scenes.IsTime', 'phone.actions.WeatherCurrentConditions', 'phone.actions.Contacts']",0.333333333,0.5,0.4,"['phone.actions.WeatherConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.333333333,0.5,0.4,"['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition']",0.333333333,0.5,0.4,"['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions', 'phone.scenes.IsWeatherCondition']",0.333333333,0.5,0.4,"['phone.actions.WeatherCurrentConditions', 'phone.scenes.IsTime', 'phone.scenes.IsWeatherCondition']",0.333333333,0.5,0.4,"['phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions', 'phone.scenes.IsWeatherCondition']",0.333333333,0.5,0.4
把老板罗斯的这首曲子放到nação reggae,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']","['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.CreatePlaylist', 'phone.actions.SendEmail', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetCurrentSong', 'phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist']",0.666666667,1,0.8,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist']",0.666666667,1,0.8,"['phone.actions.GetPlaylist', 'phone.actions.SearchWeb', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.FilterMusic', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.scenes.CarPlay']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.FilterMusic', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4
播放1989年左右的乔尼-巴克兰的交响曲前五名,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic']","['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.actions.GetPlaylist']",0.666666667,1,0.8,"['phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.scenes.IsTime']",0.666666667,1,0.8,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.scenes.IsBlueTooth']",0.666666667,1,0.8,"['phone.actions.GetPlaylist', 'phone.actions.FilterMusic', 'phone.actions.GetCurrentSong']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.PlayMusic', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.FilterMusic', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4
把这首歌放在感觉良好的独立摇滚乐播放列表中,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']","['phone.actions.FilterMusic', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetCurrentSong', 'phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist']",0.666666667,1,0.8,"['phone.actions.GetCurrentSong', 'phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist']",0.666666667,1,0.8,"['phone.actions.AddToPlaylist', 'phone.actions.FilterMusic', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4
搜索哪里可以看到学习的乐趣,['phone.actions.SearchWeb'],"['phone.actions.SearchWeb', 'phone.actions.FilterMusic', 'phone.actions.SearchLocalFacilities']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist', 'phone.actions.SearchPodcasts']",0,0,0,"['phone.actions.SearchWeb', 'phone.actions.GetCurrentSong', 'phone.actions.CreatePlaylist']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.SearchPodcasts']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.GetCurrentLocation']",0.333333333,1,0.5,"['phone.actions.FilterMusic', 'phone.actions.GetLastVideo', 'phone.actions.SearchPodcasts']",0,0,0,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.SearchPodcasts']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.SearchPodcasts', 'phone.actions.GetPlaylist']",0.333333333,1,0.5
搜索秘密教义的创意图片,['phone.actions.SearchWeb'],"['phone.actions.FilterPhotos', 'phone.actions.GetLastPhoto', 'phone.actions.GetLastVideo']",0,0,0,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.MakeGif', 'phone.actions.GetLastVideo']",0,0,0,"['phone.actions.SearchWeb', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.SearchPodcasts']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.GetFramesFromImage', 'phone.actions.FilterPhotos']",0.333333333,1,0.5,"['phone.actions.GetPinboard', 'phone.actions.FilterPhotos', 'phone.actions.GetLastPhoto']",0,0,0,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.FilterPhotos']",0.333333333,1,0.5,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.FilterPhotos', 'phone.actions.GetLastPhoto']",0,0,0
播放七十年代汤姆-萨克尔的民谣,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic']","['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.actions.SearchWeb']",0.666666667,1,0.8,"['phone.actions.PlayMusic', 'phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.actions.GetCurrentSong']",0.666666667,1,0.8,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.scenes.IsBlueTooth']",0.666666667,1,0.8,"['phone.actions.GetPlaylist', 'phone.actions.SearchWeb', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.GetPlaylist', 'phone.actions.PlayMusic', 'phone.actions.AddToPlaylist']",0.333333333,0.5,0.4,"['phone.actions.GetCurrentSong', 'phone.scenes.IsApplication', 'phone.actions.GetPlaylist']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.FilterMusic', 'phone.actions.PlayMusic']",0.666666667,1,0.8
我想看忘了那个女孩,['phone.actions.SearchWeb'],"['phone.actions.FilterPhotos', 'phone.actions.SetBlueTooth', 'phone.actions.SearchWeb']",0.333333333,1,0.5,"['phone.actions.Contacts', 'phone.actions.GetDeviceDetails', 'phone.actions.AddToMemorandum']",0,0,0,"['phone.actions.SearchWeb', 'phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.SearchWeb', 'phone.actions.GetPinboard', 'phone.actions.SearchPodcasts']",0.333333333,1,0.5,"['phone.scenes.IsDNDState', 'phone.actions.SearchWeb', 'phone.scenes.GetBatteryCapacity']",0.333333333,1,0.5,"['phone.actions.AddToMemorandum', 'phone.actions.GetLastVideo', 'phone.actions.GetLastPhoto']",0,0,0,"['phone.scenes.IsApplication', 'phone.actions.SearchWeb', 'phone.actions.AddToMemorandum']",0.333333333,1,0.5,"['phone.actions.FilterPhotos', 'phone.actions.GetLastVideo', 'phone.actions.GetLastPhoto']",0,0,0
播放jade puget的2gether,['phone.actions.PlayMusic'],"['phone.actions.PlayMusic', 'phone.actions.CreateAlarm', 'phone.scenes.CarPlay']",0.333333333,1,0.5,"['phone.actions.GetPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.AirDropDocument']",0,0,0,"['phone.actions.PlayMusic', 'phone.actions.FilterMusic', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic', 'phone.scenes.IsBlueTooth']",0.333333333,1,0.5,"['phone.actions.GetPlaylist', 'phone.actions.SearchWeb', 'phone.actions.FilterMusic']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.PlayMusic']",0.333333333,1,0.5,"['phone.actions.GetPinboard', 'phone.scenes.IsApplication', 'phone.actions.SetAirplaneMode']",0,0,0,"['phone.actions.GetPlaylist', 'phone.actions.GetLastVideo', 'phone.actions.PlayMusic']",0.333333333,1,0.5
