intent,actions
将transmission添加到我的found_them_first歌单,['phone.actions.AddToPlaylist']
从现在起20分钟后，马丁尼克的家园草地会是什么天气,"['phone.actions.Delay', 'phone.actions.WeatherCurrentConditions']"
把老板罗斯的这首曲子放到nação reggae,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']"
播放1989年左右的乔尼-巴克兰的交响曲前五名,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic']"
把这首歌放在感觉良好的独立摇滚乐播放列表中,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']"
搜索哪里可以看到学习的乐趣,['phone.actions.SearchWeb']
搜索秘密教义的创意图片,['phone.actions.SearchWeb']
播放七十年代汤姆-萨克尔的民谣,"['phone.actions.FilterMusic', 'phone.actions.PlayMusic']"
我想看忘了那个女孩,['phone.actions.SearchWeb']
播放jade puget的2gether,['phone.actions.PlayMusic']
将Rudolph Run加入我的Rockin播放列表,['phone.actions.AddToPlaylist']
"将 ""每首歌都是对爱的呼唤 ""添加到我的播放列表中，""城市的灵魂""",['phone.actions.AddToPlaylist']
将该音乐添加到罗莎娜的健身运动播放列表,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']"
巴布亚新几内亚午间的降雨量预测,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']"
附近停车场,['phone.actions.SearchLocalFacilities']
去苏州大学,['phone.actions.GetDirections']
用最新的两张照片制作GIF发送给张三,"['phone.actions.GetLastPhoto', 'phone.actions.MakeGif', 'phone.actions.SendMessage']"
如果明天早上下雨的话帮我叫辆车去公司,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.RequestRide']"
定5个闹钟，从8点开始每隔5分钟定一个闹钟,"['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.CreateAlarm']"
获取当前设备名称,['phone.actions.GetDeviceDetails']
计算从当前位置到苏州大学的距离,['phone.actions.GetDistance']
返回当前设备的信息,['phone.actions.GetDeviceDetails']
告诉我到苏州大学的距离并打一辆车,"['phone.actions.GetDistance', 'phone.actions.RequestRide']"
当和车载蓝牙连接时播放我的开车音乐列表,"['phone.scenes.IsBlueTooth', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']"
把现在播放的这首歌添加到备忘录,"['phone.actions.GetCurrentSong', 'phone.actions.AddToMemorandum']"
给A连续发10份欢迎邮件,"['phone.actions.RepeatCount', 'phone.actions.SendEmail']"
求从昆明到苏州和昆明到深圳的距离,"['phone.actions.GetDistance', 'phone.actions.GetDistance']"
如果明天早上下雨的话帮我给A发邮件请假,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.WeatherForecast', 'phone.actions.SendEmail']"
导航去苏州，查询当地的天气，并循环播放音乐A,"['phone.actions.GetDirections', 'phone.actions.WeatherForecast', 'phone.actions.PlayMusic']"
循环播放《星晴》10次,"['phone.actions.RepeatCount', 'phone.actions.PlayMusic']"
从呈贡区打车到西山区，6个人需要一辆高级车,['phone.actions.RequestRide']
获取苏州每小时到天气预报,['phone.actions.WeatherForecast']
获取昆明呈贡区每日天气预报,['phone.actions.WeatherForecast']
获取昆明呈贡区每日天气预报并邮件通知A,"['phone.actions.WeatherForecast', 'phone.actions.SendEmail']"
计算3+2等于几,['phone.actions.CalculateExpression']
计算3+2+1等于几,['phone.actions.CalculateExpression']
"每隔10分钟,播放一次《星晴》,循环50次","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.PlayMusic']"
"每隔60分钟,给A发送一次当前位置的每小时天气,循环99次","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.WeatherForecast', 'phone.actions.SendEmail']"
获取昆明呈贡区每日天气的最高温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']"
获取昆明呈贡区每日天气的最低温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']"
获取昆明呈贡区每日天气的体感温度,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']"
查找联系人，用邮件给联系人发送文件夹,"['phone.actions.Contacts', 'phone.actions.Folder', 'phone.actions.SendEmail']"
查找相册最近的5张gif图片，将其拆分为单独的帧,"['phone.actions.GetLastPhoto', 'phone.actions.GetFramesFromImage']"
把pdf创建成jpg图像并生成gif文件,"['phone.actions.MakeImageFromPdfPage', 'phone.actions.MakeGif']"
打开A应用并把窗口运动到屏幕中间,"['phone.actions.OpenApp', 'phone.actions.MoveWindow']"
"搜索中国的A播客,在音乐程序中创建一个新的播放列表，然后播放A的所有曲目","['phone.actions.SearchPodcasts', 'phone.actions.CreatePlaylist']"
从相册获取最近的两张并将其合并,"['phone.actions.GetLastPhoto', 'phone.actions.OverlayImages']"
"获取A播放列表中的每首歌曲,通过邮件把这些歌曲发给B","['phone.actions.GetPlaylist', 'phone.actions.SendEmail']"
如果到家距离小于5km，则为我用百度地图叫一辆车去回家,"['phone.actions.GetDistance', 'phone.actions.Conditional', 'phone.actions.RequestRide']"
获取照片库最近的1张gif图片，并将照片拆分为单独的帧,"['phone.actions.GetLastPhoto', 'phone.actions.GetFramesFromImage']"
当到学校时向家人发消息报平安,"['phone.scenes.Arrive', 'phone.actions.SendMessage']"
如果现在外面在下大雨，则随机播放歌曲，否则导航到附近火锅店,"['phone.scenes.IsWeatherCondition', 'phone.actions.PlayMusic', 'phone.actions.GetDirections']"
